2600,3171
2900,4012
2350,2594
3500,5510
3200,4783
3200,4782
3200,4781
3200,4780
3200,4779
3200,4778
3200,4777
3200,4776
3200,4775
3200,4774
3200,4773
3200,4772
3200,4771
3200,4770
3500,5509
3500,5508
3500,5507
3500,5506
3500,5505
3500,5504
3500,5503
3500,5502
3500,5501
3500,5500
2600,3170
2600,3169
2600,3168
2600,3167
2600,3166
2600,3165
2600,3164
2600,3163
2600,3162
2600,3161
2600,3160
2350,2593
2350,2592
2350,2591
2350,2590
2350,2589
2350,2588
2350,2587
2350,2586
2350,2585
2350,2584
2350,2583
2350,2582
2350,2581
2350,2580
2900,4011
2900,4010
2900,4009
2900,4008
2900,4007
2900,4006
2900,4005
2900,4004
2900,4003
2900,4002
2900,4001
2900,4000
